,Country,Indicator,Missing Data Percentage
0,Azerbaijan,Region,0.0
1,China,Region,0.0
2,"Hong Kong, China",Region,0.0
3,India,Region,0.0
4,Indonesia,Region,0.0
5,Japan,Region,0.0
6,Kazakhstan,Region,0.0
7,Malaysia,Region,0.0
8,Pakistan,Region,0.0
9,Philippines,Region,0.0
10,Singapore,Region,0.0
11,South Korea,Region,0.0
12,Taiwan,Region,0.0
13,Thailand,Region,0.0
14,Uzbekistan,Region,0.0
15,Vietnam,Region,0.0
16,Australia,Region,0.0
17,New Zealand,Region,0.0
18,Belarus,Region,0.0
19,Bosnia-Herzegovina,Region,0.0
20,Bulgaria,Region,0.0
21,Croatia,Region,0.0
22,Czech Republic,Region,0.0
23,Estonia,Region,0.0
24,Georgia,Region,0.0
25,Hungary,Region,0.0
26,Latvia,Region,0.0
27,Lithuania,Region,0.0
28,Macedonia,Region,0.0
29,Poland,Region,0.0
30,Romania,Region,0.0
31,Russia,Region,0.0
32,Serbia,Region,0.0
33,Slovakia,Region,0.0
34,Slovenia,Region,0.0
35,Ukraine,Region,0.0
36,Argentina,Region,0.0
37,Bolivia,Region,0.0
38,Brazil,Region,0.0
39,Chile,Region,0.0
40,Colombia,Region,0.0
41,Costa Rica,Region,0.0
42,Dominican Republic,Region,0.0
43,Ecuador,Region,0.0
44,Guatemala,Region,0.0
45,Mexico,Region,0.0
46,Peru,Region,0.0
47,Uruguay,Region,0.0
48,Venezuela,Region,0.0
49,Algeria,Region,0.0
50,Cameroon,Region,0.0
51,Egypt,Region,0.0
52,Iran,Region,0.0
53,Israel,Region,0.0
54,Kenya,Region,0.0
55,Morocco,Region,0.0
56,Nigeria,Region,0.0
57,Saudi Arabia,Region,0.0
58,South Africa,Region,0.0
59,Tunisia,Region,0.0
60,United Arab Emirates,Region,0.0
61,Canada,Region,0.0
62,USA,Region,0.0
63,Austria,Region,0.0
64,Belgium,Region,0.0
65,Denmark,Region,0.0
66,Finland,Region,0.0
67,France,Region,0.0
68,Germany,Region,0.0
69,Greece,Region,0.0
70,Ireland,Region,0.0
71,Italy,Region,0.0
72,Netherlands,Region,0.0
73,Norway,Region,0.0
74,Portugal,Region,0.0
75,Spain,Region,0.0
76,Sweden,Region,0.0
77,Switzerland,Region,0.0
78,Turkey,Region,0.0
79,United Kingdom,Region,0.0
80,Azerbaijan,Ice Cream Volume,0.0
81,China,Ice Cream Volume,0.0
82,"Hong Kong, China",Ice Cream Volume,0.0
83,India,Ice Cream Volume,0.0
84,Indonesia,Ice Cream Volume,0.0
85,Japan,Ice Cream Volume,0.0
86,Kazakhstan,Ice Cream Volume,0.0
87,Malaysia,Ice Cream Volume,0.0
88,Pakistan,Ice Cream Volume,0.0
89,Philippines,Ice Cream Volume,0.0
90,Singapore,Ice Cream Volume,0.0
91,South Korea,Ice Cream Volume,0.0
92,Taiwan,Ice Cream Volume,0.0
93,Thailand,Ice Cream Volume,0.0
94,Uzbekistan,Ice Cream Volume,0.0
95,Vietnam,Ice Cream Volume,0.0
96,Australia,Ice Cream Volume,0.0
97,New Zealand,Ice Cream Volume,0.0
98,Belarus,Ice Cream Volume,0.0
99,Bosnia-Herzegovina,Ice Cream Volume,0.0
100,Bulgaria,Ice Cream Volume,0.0
101,Croatia,Ice Cream Volume,0.0
102,Czech Republic,Ice Cream Volume,0.0
103,Estonia,Ice Cream Volume,0.0
104,Georgia,Ice Cream Volume,0.0
105,Hungary,Ice Cream Volume,0.0
106,Latvia,Ice Cream Volume,0.0
107,Lithuania,Ice Cream Volume,0.0
108,Macedonia,Ice Cream Volume,0.0
109,Poland,Ice Cream Volume,0.0
110,Romania,Ice Cream Volume,0.0
111,Russia,Ice Cream Volume,0.0
112,Serbia,Ice Cream Volume,0.0
113,Slovakia,Ice Cream Volume,0.0
114,Slovenia,Ice Cream Volume,0.0
115,Ukraine,Ice Cream Volume,0.0
116,Argentina,Ice Cream Volume,0.0
117,Bolivia,Ice Cream Volume,0.0
118,Brazil,Ice Cream Volume,0.0
119,Chile,Ice Cream Volume,0.0
120,Colombia,Ice Cream Volume,0.0
121,Costa Rica,Ice Cream Volume,0.0
122,Dominican Republic,Ice Cream Volume,0.0
123,Ecuador,Ice Cream Volume,0.0
124,Guatemala,Ice Cream Volume,0.0
125,Mexico,Ice Cream Volume,0.0
126,Peru,Ice Cream Volume,0.0
127,Uruguay,Ice Cream Volume,0.0
128,Venezuela,Ice Cream Volume,0.0
129,Algeria,Ice Cream Volume,0.0
130,Cameroon,Ice Cream Volume,0.0
131,Egypt,Ice Cream Volume,0.0
132,Iran,Ice Cream Volume,0.0
133,Israel,Ice Cream Volume,0.0
134,Kenya,Ice Cream Volume,0.0
135,Morocco,Ice Cream Volume,0.0
136,Nigeria,Ice Cream Volume,0.0
137,Saudi Arabia,Ice Cream Volume,0.0
138,South Africa,Ice Cream Volume,0.0
139,Tunisia,Ice Cream Volume,0.0
140,United Arab Emirates,Ice Cream Volume,0.0
141,Canada,Ice Cream Volume,0.0
142,USA,Ice Cream Volume,0.0
143,Austria,Ice Cream Volume,0.0
144,Belgium,Ice Cream Volume,0.0
145,Denmark,Ice Cream Volume,0.0
146,Finland,Ice Cream Volume,0.0
147,France,Ice Cream Volume,0.0
148,Germany,Ice Cream Volume,0.0
149,Greece,Ice Cream Volume,0.0
150,Ireland,Ice Cream Volume,0.0
151,Italy,Ice Cream Volume,0.0
152,Netherlands,Ice Cream Volume,0.0
153,Norway,Ice Cream Volume,0.0
154,Portugal,Ice Cream Volume,0.0
155,Spain,Ice Cream Volume,0.0
156,Sweden,Ice Cream Volume,0.0
157,Switzerland,Ice Cream Volume,0.0
158,Turkey,Ice Cream Volume,0.0
159,United Kingdom,Ice Cream Volume,0.0
160,Azerbaijan,Ice Cream Value,55.00000000000001
161,China,Ice Cream Value,0.0
162,"Hong Kong, China",Ice Cream Value,0.0
163,India,Ice Cream Value,0.0
164,Indonesia,Ice Cream Value,0.0
165,Japan,Ice Cream Value,0.0
166,Kazakhstan,Ice Cream Value,20.0
167,Malaysia,Ice Cream Value,0.0
168,Pakistan,Ice Cream Value,0.0
169,Philippines,Ice Cream Value,0.0
170,Singapore,Ice Cream Value,0.0
171,South Korea,Ice Cream Value,0.0
172,Taiwan,Ice Cream Value,0.0
173,Thailand,Ice Cream Value,0.0
174,Uzbekistan,Ice Cream Value,0.0
175,Vietnam,Ice Cream Value,0.0
176,Australia,Ice Cream Value,0.0
177,New Zealand,Ice Cream Value,0.0
178,Belarus,Ice Cream Value,0.0
179,Bosnia-Herzegovina,Ice Cream Value,0.0
180,Bulgaria,Ice Cream Value,0.0
181,Croatia,Ice Cream Value,0.0
182,Czech Republic,Ice Cream Value,0.0
183,Estonia,Ice Cream Value,0.0
184,Georgia,Ice Cream Value,0.0
185,Hungary,Ice Cream Value,0.0
186,Latvia,Ice Cream Value,0.0
187,Lithuania,Ice Cream Value,0.0
188,Macedonia,Ice Cream Value,0.0
189,Poland,Ice Cream Value,0.0
190,Romania,Ice Cream Value,0.0
191,Russia,Ice Cream Value,0.0
192,Serbia,Ice Cream Value,0.0
193,Slovakia,Ice Cream Value,0.0
194,Slovenia,Ice Cream Value,0.0
195,Ukraine,Ice Cream Value,0.0
196,Argentina,Ice Cream Value,0.0
197,Bolivia,Ice Cream Value,0.0
198,Brazil,Ice Cream Value,0.0
199,Chile,Ice Cream Value,0.0
200,Colombia,Ice Cream Value,0.0
201,Costa Rica,Ice Cream Value,0.0
202,Dominican Republic,Ice Cream Value,5.0
203,Ecuador,Ice Cream Value,50.0
204,Guatemala,Ice Cream Value,55.00000000000001
205,Mexico,Ice Cream Value,0.0
206,Peru,Ice Cream Value,0.0
207,Uruguay,Ice Cream Value,0.0
208,Venezuela,Ice Cream Value,0.0
209,Algeria,Ice Cream Value,0.0
210,Cameroon,Ice Cream Value,40.0
211,Egypt,Ice Cream Value,0.0
212,Iran,Ice Cream Value,0.0
213,Israel,Ice Cream Value,0.0
214,Kenya,Ice Cream Value,0.0
215,Morocco,Ice Cream Value,0.0
216,Nigeria,Ice Cream Value,70.0
217,Saudi Arabia,Ice Cream Value,0.0
218,South Africa,Ice Cream Value,0.0
219,Tunisia,Ice Cream Value,0.0
220,United Arab Emirates,Ice Cream Value,0.0
221,Canada,Ice Cream Value,0.0
222,USA,Ice Cream Value,0.0
223,Austria,Ice Cream Value,0.0
224,Belgium,Ice Cream Value,0.0
225,Denmark,Ice Cream Value,0.0
226,Finland,Ice Cream Value,0.0
227,France,Ice Cream Value,0.0
228,Germany,Ice Cream Value,0.0
229,Greece,Ice Cream Value,0.0
230,Ireland,Ice Cream Value,0.0
231,Italy,Ice Cream Value,0.0
232,Netherlands,Ice Cream Value,0.0
233,Norway,Ice Cream Value,0.0
234,Portugal,Ice Cream Value,0.0
235,Spain,Ice Cream Value,0.0
236,Sweden,Ice Cream Value,0.0
237,Switzerland,Ice Cream Value,0.0
238,Turkey,Ice Cream Value,0.0
239,United Kingdom,Ice Cream Value,0.0
240,Azerbaijan,Ice Cream Price,55.00000000000001
241,China,Ice Cream Price,0.0
242,"Hong Kong, China",Ice Cream Price,0.0
243,India,Ice Cream Price,0.0
244,Indonesia,Ice Cream Price,0.0
245,Japan,Ice Cream Price,0.0
246,Kazakhstan,Ice Cream Price,20.0
247,Malaysia,Ice Cream Price,0.0
248,Pakistan,Ice Cream Price,0.0
249,Philippines,Ice Cream Price,0.0
250,Singapore,Ice Cream Price,0.0
251,South Korea,Ice Cream Price,0.0
252,Taiwan,Ice Cream Price,0.0
253,Thailand,Ice Cream Price,0.0
254,Uzbekistan,Ice Cream Price,0.0
255,Vietnam,Ice Cream Price,0.0
256,Australia,Ice Cream Price,0.0
257,New Zealand,Ice Cream Price,0.0
258,Belarus,Ice Cream Price,0.0
259,Bosnia-Herzegovina,Ice Cream Price,0.0
260,Bulgaria,Ice Cream Price,0.0
261,Croatia,Ice Cream Price,0.0
262,Czech Republic,Ice Cream Price,0.0
263,Estonia,Ice Cream Price,0.0
264,Georgia,Ice Cream Price,0.0
265,Hungary,Ice Cream Price,0.0
266,Latvia,Ice Cream Price,0.0
267,Lithuania,Ice Cream Price,0.0
268,Macedonia,Ice Cream Price,0.0
269,Poland,Ice Cream Price,0.0
270,Romania,Ice Cream Price,0.0
271,Russia,Ice Cream Price,0.0
272,Serbia,Ice Cream Price,0.0
273,Slovakia,Ice Cream Price,0.0
274,Slovenia,Ice Cream Price,0.0
275,Ukraine,Ice Cream Price,0.0
276,Argentina,Ice Cream Price,0.0
277,Bolivia,Ice Cream Price,0.0
278,Brazil,Ice Cream Price,0.0
279,Chile,Ice Cream Price,0.0
280,Colombia,Ice Cream Price,0.0
281,Costa Rica,Ice Cream Price,0.0
282,Dominican Republic,Ice Cream Price,5.0
283,Ecuador,Ice Cream Price,50.0
284,Guatemala,Ice Cream Price,55.00000000000001
285,Mexico,Ice Cream Price,0.0
286,Peru,Ice Cream Price,0.0
287,Uruguay,Ice Cream Price,0.0
288,Venezuela,Ice Cream Price,0.0
289,Algeria,Ice Cream Price,0.0
290,Cameroon,Ice Cream Price,40.0
291,Egypt,Ice Cream Price,0.0
292,Iran,Ice Cream Price,0.0
293,Israel,Ice Cream Price,0.0
294,Kenya,Ice Cream Price,0.0
295,Morocco,Ice Cream Price,0.0
296,Nigeria,Ice Cream Price,70.0
297,Saudi Arabia,Ice Cream Price,0.0
298,South Africa,Ice Cream Price,0.0
299,Tunisia,Ice Cream Price,0.0
300,United Arab Emirates,Ice Cream Price,0.0
301,Canada,Ice Cream Price,0.0
302,USA,Ice Cream Price,0.0
303,Austria,Ice Cream Price,0.0
304,Belgium,Ice Cream Price,0.0
305,Denmark,Ice Cream Price,0.0
306,Finland,Ice Cream Price,0.0
307,France,Ice Cream Price,0.0
308,Germany,Ice Cream Price,0.0
309,Greece,Ice Cream Price,0.0
310,Ireland,Ice Cream Price,0.0
311,Italy,Ice Cream Price,0.0
312,Netherlands,Ice Cream Price,0.0
313,Norway,Ice Cream Price,0.0
314,Portugal,Ice Cream Price,0.0
315,Spain,Ice Cream Price,0.0
316,Sweden,Ice Cream Price,0.0
317,Switzerland,Ice Cream Price,0.0
318,Turkey,Ice Cream Price,0.0
319,United Kingdom,Ice Cream Price,0.0
320,Azerbaijan,GDP,0.0
321,China,GDP,0.0
322,"Hong Kong, China",GDP,0.0
323,India,GDP,0.0
324,Indonesia,GDP,0.0
325,Japan,GDP,0.0
326,Kazakhstan,GDP,0.0
327,Malaysia,GDP,0.0
328,Pakistan,GDP,0.0
329,Philippines,GDP,0.0
330,Singapore,GDP,0.0
331,South Korea,GDP,0.0
332,Taiwan,GDP,0.0
333,Thailand,GDP,0.0
334,Uzbekistan,GDP,0.0
335,Vietnam,GDP,0.0
336,Australia,GDP,0.0
337,New Zealand,GDP,0.0
338,Belarus,GDP,0.0
339,Bosnia-Herzegovina,GDP,0.0
340,Bulgaria,GDP,0.0
341,Croatia,GDP,0.0
342,Czech Republic,GDP,0.0
343,Estonia,GDP,0.0
344,Georgia,GDP,0.0
345,Hungary,GDP,0.0
346,Latvia,GDP,0.0
347,Lithuania,GDP,0.0
348,Macedonia,GDP,0.0
349,Poland,GDP,0.0
350,Romania,GDP,0.0
351,Russia,GDP,0.0
352,Serbia,GDP,0.0
353,Slovakia,GDP,0.0
354,Slovenia,GDP,0.0
355,Ukraine,GDP,0.0
356,Argentina,GDP,0.0
357,Bolivia,GDP,0.0
358,Brazil,GDP,0.0
359,Chile,GDP,0.0
360,Colombia,GDP,0.0
361,Costa Rica,GDP,0.0
362,Dominican Republic,GDP,0.0
363,Ecuador,GDP,0.0
364,Guatemala,GDP,0.0
365,Mexico,GDP,0.0
366,Peru,GDP,0.0
367,Uruguay,GDP,0.0
368,Venezuela,GDP,0.0
369,Algeria,GDP,0.0
370,Cameroon,GDP,0.0
371,Egypt,GDP,0.0
372,Iran,GDP,0.0
373,Israel,GDP,0.0
374,Kenya,GDP,0.0
375,Morocco,GDP,0.0
376,Nigeria,GDP,0.0
377,Saudi Arabia,GDP,0.0
378,South Africa,GDP,0.0
379,Tunisia,GDP,0.0
380,United Arab Emirates,GDP,0.0
381,Canada,GDP,0.0
382,USA,GDP,0.0
383,Austria,GDP,0.0
384,Belgium,GDP,0.0
385,Denmark,GDP,0.0
386,Finland,GDP,0.0
387,France,GDP,0.0
388,Germany,GDP,0.0
389,Greece,GDP,0.0
390,Ireland,GDP,0.0
391,Italy,GDP,0.0
392,Netherlands,GDP,0.0
393,Norway,GDP,0.0
394,Portugal,GDP,0.0
395,Spain,GDP,0.0
396,Sweden,GDP,0.0
397,Switzerland,GDP,0.0
398,Turkey,GDP,0.0
399,United Kingdom,GDP,0.0
400,Azerbaijan,Possession of Refrigerator,0.0
401,China,Possession of Refrigerator,0.0
402,"Hong Kong, China",Possession of Refrigerator,0.0
403,India,Possession of Refrigerator,0.0
404,Indonesia,Possession of Refrigerator,0.0
405,Japan,Possession of Refrigerator,0.0
406,Kazakhstan,Possession of Refrigerator,0.0
407,Malaysia,Possession of Refrigerator,0.0
408,Pakistan,Possession of Refrigerator,0.0
409,Philippines,Possession of Refrigerator,0.0
410,Singapore,Possession of Refrigerator,0.0
411,South Korea,Possession of Refrigerator,0.0
412,Taiwan,Possession of Refrigerator,0.0
413,Thailand,Possession of Refrigerator,0.0
414,Uzbekistan,Possession of Refrigerator,0.0
415,Vietnam,Possession of Refrigerator,0.0
416,Australia,Possession of Refrigerator,0.0
417,New Zealand,Possession of Refrigerator,0.0
418,Belarus,Possession of Refrigerator,0.0
419,Bosnia-Herzegovina,Possession of Refrigerator,0.0
420,Bulgaria,Possession of Refrigerator,0.0
421,Croatia,Possession of Refrigerator,0.0
422,Czech Republic,Possession of Refrigerator,0.0
423,Estonia,Possession of Refrigerator,0.0
424,Georgia,Possession of Refrigerator,0.0
425,Hungary,Possession of Refrigerator,0.0
426,Latvia,Possession of Refrigerator,0.0
427,Lithuania,Possession of Refrigerator,0.0
428,Macedonia,Possession of Refrigerator,0.0
429,Poland,Possession of Refrigerator,0.0
430,Romania,Possession of Refrigerator,0.0
431,Russia,Possession of Refrigerator,0.0
432,Serbia,Possession of Refrigerator,0.0
433,Slovakia,Possession of Refrigerator,0.0
434,Slovenia,Possession of Refrigerator,0.0
435,Ukraine,Possession of Refrigerator,0.0
436,Argentina,Possession of Refrigerator,0.0
437,Bolivia,Possession of Refrigerator,0.0
438,Brazil,Possession of Refrigerator,0.0
439,Chile,Possession of Refrigerator,0.0
440,Colombia,Possession of Refrigerator,0.0
441,Costa Rica,Possession of Refrigerator,0.0
442,Dominican Republic,Possession of Refrigerator,0.0
443,Ecuador,Possession of Refrigerator,0.0
444,Guatemala,Possession of Refrigerator,0.0
445,Mexico,Possession of Refrigerator,0.0
446,Peru,Possession of Refrigerator,0.0
447,Uruguay,Possession of Refrigerator,0.0
448,Venezuela,Possession of Refrigerator,0.0
449,Algeria,Possession of Refrigerator,0.0
450,Cameroon,Possession of Refrigerator,0.0
451,Egypt,Possession of Refrigerator,0.0
452,Iran,Possession of Refrigerator,0.0
453,Israel,Possession of Refrigerator,0.0
454,Kenya,Possession of Refrigerator,0.0
455,Morocco,Possession of Refrigerator,0.0
456,Nigeria,Possession of Refrigerator,0.0
457,Saudi Arabia,Possession of Refrigerator,0.0
458,South Africa,Possession of Refrigerator,0.0
459,Tunisia,Possession of Refrigerator,0.0
460,United Arab Emirates,Possession of Refrigerator,0.0
461,Canada,Possession of Refrigerator,0.0
462,USA,Possession of Refrigerator,0.0
463,Austria,Possession of Refrigerator,0.0
464,Belgium,Possession of Refrigerator,0.0
465,Denmark,Possession of Refrigerator,0.0
466,Finland,Possession of Refrigerator,0.0
467,France,Possession of Refrigerator,0.0
468,Germany,Possession of Refrigerator,0.0
469,Greece,Possession of Refrigerator,0.0
470,Ireland,Possession of Refrigerator,0.0
471,Italy,Possession of Refrigerator,0.0
472,Netherlands,Possession of Refrigerator,0.0
473,Norway,Possession of Refrigerator,0.0
474,Portugal,Possession of Refrigerator,0.0
475,Spain,Possession of Refrigerator,0.0
476,Sweden,Possession of Refrigerator,0.0
477,Switzerland,Possession of Refrigerator,0.0
478,Turkey,Possession of Refrigerator,0.0
479,United Kingdom,Possession of Refrigerator,0.0
